quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,message_id,status,audio_text,audio_file_id
q_1770364980000_cy89vvdki,2026-02-06T08:03:00.000Z,,_____ ist dein Lehrer?,Wer,Wen,Wann,Wo,0,Wer,„Wer“ fragt nach einer Person (Nominativ).,ist_dein_lehrer,A1,W‑Fragen,,ready,,
q_1770365040000_1fyeau2gc,2026-02-06T08:04:00.000Z,,_____ ist dein Lieblingsessen?,Was,Woraus,Wodurch,Wessen,0,Was,„Was“ fragt nach einer Sache/Handlung.,ist_dein_lieblingsessen,A1,W‑Fragen,,ready,,
q_1770365100000_4q4ctv74n,2026-02-06T08:05:00.000Z,,_____ wohnst du?,Wann,Wie,Wo,Wobei,2,Wo,„Wo“ fragt nach dem Ort.,wohnst_du,A1,W‑Fragen,,ready,,
q_1770365160000_8570x6clf,2026-02-06T08:06:00.000Z,,_____ beginnt der Unterricht?,Wozu,Woraus,Wessen,Wann,3,Wann,„Wann“ fragt nach der Zeit.,beginnt_der_unterricht,A1,W‑Fragen,,ready,,
q_1770365220000_e3yvbmfxa,2026-02-06T08:07:00.000Z,,_____ lernst du Deutsch?,Warum,Woher,Wen,Woran,0,Warum,„Warum“ fragt nach dem Grund.,lernst_du_deutsch,A1,W‑Fragen,,ready,,
q_1770365280000_5o84lj82y,2026-02-06T08:08:00.000Z,,_____ heißt du?,Welche,Wie,Wofür,Womit,1,Wie,„Wie“ fragt nach der Art/Weise oder dem Zustand.,heisst_du,A1,W‑Fragen,,ready,,
q_1770365340000_bqwr10age,2026-02-06T08:09:00.000Z,,_____ kommst du?,Was,Wer,Worauf,Woher,3,Woher,„Woher“ fragt nach der Herkunft.,kommst_du,A1,W‑Fragen,,ready,,
q_1770365400000_8ye8zbuq4,2026-02-06T08:10:00.000Z,,_____ gehst du nach der Schule?,Womit,Wohin,Wozu,Wo,1,Wohin,„Wohin“ fragt nach dem Ziel/der Richtung.,gehst_du_nach_der_schule,A1,W‑Fragen,,ready,,
q_1770365460000_k0ejxpfd7,2026-02-06T08:11:00.000Z,,_____ Farbe magst du?,Welche,Wodurch,Was,Wessen,0,Welche,„Welche“ fragt nach einer Auswahl.,farbe_magst_du,A1,W‑Fragen,,ready,,
q_1770365520000_yxi8v7hky,2026-02-06T08:12:00.000Z,,_____ siehst du?,Wofür,Wen,Wem,Wodurch,1,Wen,„Wen“ fragt nach einer Person im Akkusativ.,siehst_du,A2,W‑Fragen,,ready,,
q_1770365580000_w22t1bk7u,2026-02-06T08:13:00.000Z,,_____ hilfst du?,Worüber,Wem,Warum,Was,1,Wem,„Wem“ fragt nach dem Dativ-Objekt (Empfänger).,hilfst_du,A2,W‑Fragen,,ready,,
q_1770365640000_8xovfr6pn,2026-02-06T08:14:00.000Z,,_____ Tasche ist das?,Wodurch,Wessen,Wozu,Woraus,1,Wessen,„Wessen“ fragt nach Besitz/Zugehörigkeit.,tasche_ist_das,A2,W‑Fragen,,ready,,
q_1770365700000_m6mbmrofu,2026-02-06T08:15:00.000Z,,_____ schreibst du?,Wem,Welche,Wofür,Womit,3,Womit,„Womit“ fragt nach dem Mittel/Instrument (mit + Dativ).,schreibst_du,A2,W‑Fragen,,ready,,
q_1770365760000_45zbq5vzo,2026-02-06T08:16:00.000Z,,_____ brauchst du das?,Wo,Wofür,Wodurch,Wem,1,Wofür,„Wofür“ fragt nach Zweck/Verwendung (für + Akkusativ).,brauchst_du_das,A2,W‑Fragen,,ready,,
q_1770365820000_dx3x0uwn2,2026-02-06T08:17:00.000Z,,_____ sprechen wir?,Wozu,Worüber,Warum,Wer,1,Worüber,„Worüber“ fragt nach dem Thema (über + Akkusativ).,sprechen_wir,A2,W‑Fragen,,ready,,
q_1770365880000_y6ql9yxes,2026-02-06T08:18:00.000Z,,_____ wartest du?,Worauf,Woher,Wie,Wem,0,Worauf,„Worauf“ fragt nach Bezug/Objekt (auf + Akkusativ).,wartest_du,A2,W‑Fragen,,ready,,
q_1770365940000_dytg3up2r,2026-02-06T08:19:00.000Z,,_____ denkst du?,Wann,Wozu,Welche,Woran,3,Woran,„Woran“ fragt nach Bezug (an + Dativ/Akkusativ je nach Kontext).,denkst_du,A2,W‑Fragen,,ready,,
q_1770366000000_6rvdlhb15,2026-02-06T08:20:00.000Z,,_____ dient das?,Wozu,Wessen,Worüber,Wobei,0,Wozu,„Wozu“ fragt nach Zweck/Ziel (zu).,dient_das,A2,W‑Fragen,,ready,,
q_1770366060000_uxoc36sau,2026-02-06T08:21:00.000Z,,_____ entsteht das Problem?,Wozu,Worauf,Wodurch,Warum,2,Wodurch,„Wodurch“ fragt nach Ursache/Mittel (durch + Akkusativ).,entsteht_das_problem,A2,W‑Fragen,,ready,,
q_1770366120000_0w1ca5kmc,2026-02-06T08:22:00.000Z,,_____ hilfst du mir?,Wohin,Wobei,Womit,Wo,1,Wobei,„Wobei“ fragt nach Begleitumstand (bei).,hilfst_du_mir,A2,W‑Fragen,,ready,,
q_1770366180000_3os7fg289,2026-02-06T08:23:00.000Z,,_____ besteht das Brot?,Wie,Welche,Woraus,Woran,2,Woraus,„Woraus“ fragt nach Material/Herkunft (aus + Dativ).,besteht_das_brot,A2,W‑Fragen,,ready,,
q_1770366240000_02hd117wj,2026-02-06T08:24:00.000Z,,_____ kommt heute zu Besuch?,Wohin,Wozu,Wen,Wer,3,Wer,„Wer“ fragt nach einer Person (Nominativ).,kommt_heute_zu_besuch,A1,W‑Fragen,,ready,,
q_1770366300000_pnezba0u9,2026-02-06T08:25:00.000Z,,_____ trinkst du morgens?,Wohin,Wie,Woran,Was,3,Was,„Was“ fragt nach einer Sache/Handlung.,trinkst_du_morgens,A1,W‑Fragen,,ready,,
q_1770366360000_lthsun6bx,2026-02-06T08:26:00.000Z,,_____ arbeitest du?,Welche,Wer,Wo,Was,2,Wo,„Wo“ fragt nach dem Ort.,arbeitest_du,A1,W‑Fragen,,ready,,
q_1770366420000_z9mye5csi,2026-02-06T08:27:00.000Z,,_____ endet der Kurs?,Wann,Wie,Welche,Worauf,0,Wann,„Wann“ fragt nach der Zeit.,endet_der_kurs,A1,W‑Fragen,,ready,,
q_1770366480000_9b27wsxny,2026-02-06T08:28:00.000Z,,_____ bist du heute zu spät?,Woran,Warum,Wie,Wann,1,Warum,„Warum“ fragt nach dem Grund.,bist_du_heute_zu_spaet,A1,W‑Fragen,,ready,,
q_1770366540000_fnyl0i4ia,2026-02-06T08:29:00.000Z,,_____ ist dein Name?,Was,Wozu,Wann,Wie,3,Wie,„Wie“ fragt nach der Art/Weise oder dem Zustand.,ist_dein_name,A1,W‑Fragen,,ready,,
q_1770366600000_o31mzddjh,2026-02-06T08:30:00.000Z,,_____ kommt dein Freund?,Wo,Woher,Wie,Wessen,1,Woher,„Woher“ fragt nach der Herkunft.,kommt_dein_freund,A1,W‑Fragen,,ready,,
q_1770366660000_npp1vjfas,2026-02-06T08:31:00.000Z,,_____ fährst du am Wochenende?,Wohin,Worauf,Wo,Warum,0,Wohin,„Wohin“ fragt nach dem Ziel/der Richtung.,faehrst_du_am_wochenende,A1,W‑Fragen,,ready,,
q_1770366720000_9ehpspi9a,2026-02-06T08:32:00.000Z,,_____ Sprache lernst du?,Womit,Welche,Wessen,Wofür,1,Welche,„Welche“ fragt nach einer Auswahl.,sprache_lernst_du,A1,W‑Fragen,,ready,,
q_1770366780000_xi0cswuaw,2026-02-06T08:33:00.000Z,,_____ rufst du an?,Woraus,Wodurch,Welche,Wen,3,Wen,„Wen“ fragt nach einer Person im Akkusativ.,rufst_du_an,A2,W‑Fragen,,ready,,
q_1770366840000_u2g8mzemn,2026-02-06T08:34:00.000Z,,_____ gibst du das Buch?,Wem,Wozu,Wer,Wen,0,Wem,„Wem“ fragt nach dem Dativ-Objekt (Empfänger).,gibst_du_das_buch,A2,W‑Fragen,,ready,,
q_1770366900000_ybqbkmxlg,2026-02-06T08:35:00.000Z,,_____ Handy liegt hier?,Womit,Woran,Wessen,Worüber,2,Wessen,„Wessen“ fragt nach Besitz/Zugehörigkeit.,handy_liegt_hier,A2,W‑Fragen,,ready,,
q_1770366960000_dqxiq0fq7,2026-02-06T08:36:00.000Z,,_____ fährst du zur Arbeit?,Warum,Welche,Womit,Wann,2,Womit,„Womit“ fragt nach dem Mittel/Instrument (mit + Dativ).,faehrst_du_zur_arbeit,A2,W‑Fragen,,ready,,
q_1770367020000_t2pafhg2y,2026-02-06T08:37:00.000Z,,_____ ist dieser Schlüssel?,Woraus,Wofür,Wodurch,Wann,1,Wofür,„Wofür“ fragt nach Zweck/Verwendung (für + Akkusativ).,ist_dieser_schluessel,A2,W‑Fragen,,ready,,
q_1770367080000_npa0ifl8r,2026-02-06T08:38:00.000Z,,_____ redet ihr?,Wie,Wessen,Worüber,Warum,2,Worüber,„Worüber“ fragt nach dem Thema (über + Akkusativ).,redet_ihr,A2,W‑Fragen,,ready,,
q_1770367140000_hzrd8mtt9,2026-02-06T08:39:00.000Z,,_____ freust du dich?,Worauf,Womit,Wie,Wofür,0,Worauf,„Worauf“ fragt nach Bezug/Objekt (auf + Akkusativ).,freust_du_dich,A2,W‑Fragen,,ready,,
q_1770367200000_1ejkd9oe2,2026-02-06T08:40:00.000Z,,_____ arbeitest du gerade im Projekt?,Warum,Woran,Wem,Wer,1,Woran,„Woran“ fragt nach Bezug (an + Dativ/Akkusativ je nach Kontext).,arbeitest_du_1n5c,A2,W‑Fragen,,ready,,
q_1770367260000_c8tbncj7g,2026-02-06T08:41:00.000Z,,_____ brauchst du diese Funktion?,Wobei,Wozu,Womit,Woher,1,Wozu,„Wozu“ fragt nach Zweck/Ziel (zu).,brauchst_du_das_enf2,A2,W‑Fragen,,ready,,
q_1770367320000_z1gfcnjit,2026-02-06T08:42:00.000Z,,_____ kommt die Verzögerung?,Was,Wofür,Wodurch,Worauf,2,Wodurch,„Wodurch“ fragt nach Ursache/Mittel (durch + Akkusativ).,kommt_die_verzoegerung,A2,W‑Fragen,,ready,,
q_1770367380000_l879faj7g,2026-02-06T08:43:00.000Z,,_____ brauchst du Hilfe?,Wofür,Wessen,Woran,Wobei,3,Wobei,„Wobei“ fragt nach Begleitumstand (bei).,brauchst_du_hilfe,A2,W‑Fragen,,ready,,
q_1770367440000_s3xs8vmkc,2026-02-06T08:44:00.000Z,,_____ ist der Tisch gemacht?,Woraus,Worüber,Wohin,Wozu,0,Woraus,„Woraus“ fragt nach Material/Herkunft (aus + Dativ).,ist_der_tisch_gemacht,A2,W‑Fragen,,ready,,
q_1770367500000_lgeoyi6g5,2026-02-06T08:45:00.000Z,,_____ wohnt hier?,Warum,Wo,Wer,Womit,2,Wer,„Wer“ fragt nach einer Person (Nominativ).,wohnt_hier,A1,W‑Fragen,,ready,,
q_1770367560000_0rv4lpgd7,2026-02-06T08:46:00.000Z,,_____ machst du am Wochenende?,Welche,Was,Woraus,Wozu,1,Was,„Was“ fragt nach einer Sache/Handlung.,machst_du_am_wochenende,A1,W‑Fragen,,ready,,
q_1770367620000_zl9p6l56a,2026-02-06T08:47:00.000Z,,_____ ist der Bahnhof?,Womit,Was,Wo,Wie,2,Wo,„Wo“ fragt nach dem Ort.,ist_der_bahnhof,A1,W‑Fragen,,ready,,
q_1770367680000_oe14zud10,2026-02-06T08:48:00.000Z,,_____ kommt der Zug an?,Wann,Wie,Woran,Wen,0,Wann,„Wann“ fragt nach der Zeit.,kommt_der_zug_an,A1,W‑Fragen,,ready,,
q_1770367740000_cwxup994v,2026-02-06T08:49:00.000Z,,_____ bist du müde?,Worauf,Wo,Warum,Wessen,2,Warum,„Warum“ fragt nach dem Grund.,bist_du_muede,A1,W‑Fragen,,ready,,
q_1770367800000_m41awirw8,2026-02-06T08:50:00.000Z,,_____ geht es dir?,Woher,Wie,Was,Welche,1,Wie,„Wie“ fragt nach der Art/Weise oder dem Zustand.,geht_es_dir,A1,W‑Fragen,,ready,,
q_1770367860000_9i7a560z5,2026-02-06T08:51:00.000Z,,_____ hast du das Buch?,Womit,Wo,Wem,Woher,3,Woher,„Woher“ fragt nach der Herkunft.,hast_du_das_buch,A1,W‑Fragen,,ready,,
q_1770367920000_05hzew6yg,2026-02-06T08:52:00.000Z,,_____ reist du im Sommer?,Wie,Wo,Woher,Wohin,3,Wohin,„Wohin“ fragt nach dem Ziel/der Richtung.,reist_du_im_sommer,A1,W‑Fragen,,ready,,
q_1770367980000_mfe1212c0,2026-02-06T08:53:00.000Z,,_____ Musik hörst du gern?,Woher,Welche,Wen,Wo,1,Welche,„Welche“ fragt nach einer Auswahl.,musik_hoerst_du_gern,A1,W‑Fragen,,ready,,
q_1770368040000_xwevlhb2z,2026-02-06T08:54:00.000Z,,_____ triffst du heute?,Was,Wem,Wen,Wann,2,Wen,„Wen“ fragt nach einer Person im Akkusativ.,triffst_du_heute,A2,W‑Fragen,,ready,,
q_1770368100000_sju4xo8c4,2026-02-06T08:55:00.000Z,,_____ schreibst du die Nachricht?,Wem,Was,Wozu,Wessen,0,Wem,„Wem“ fragt nach dem Dativ-Objekt (Empfänger).,schreibst_du_die_nachricht,A2,W‑Fragen,,ready,,
q_1770368160000_9otkm34v4,2026-02-06T08:56:00.000Z,,_____ Auto steht vor der Tür?,Wessen,Woher,Wem,Warum,0,Wessen,„Wessen“ fragt nach Besitz/Zugehörigkeit.,auto_steht_vor_der_tuer,A2,W‑Fragen,,ready,,
q_1770368220000_fz3guy7io,2026-02-06T08:57:00.000Z,,_____ öffnest du die Flasche?,Worauf,Womit,Woraus,Welche,1,Womit,„Womit“ fragt nach dem Mittel/Instrument (mit + Dativ).,oeffnest_du_die_flasche,A2,W‑Fragen,,ready,,
q_1770368280000_psl7p0fy9,2026-02-06T08:58:00.000Z,,_____ benutzt du die App?,Was,Wofür,Worüber,Wie,1,Wofür,„Wofür“ fragt nach Zweck/Verwendung (für + Akkusativ).,benutzt_du_die_app,A2,W‑Fragen,,ready,,
q_1770368340000_jk3romsmd,2026-02-06T08:59:00.000Z,,_____ schreibst du in deinem Bericht?,Worauf,Worüber,Wo,Wessen,1,Worüber,„Worüber“ fragt nach dem Thema (über + Akkusativ).,schreibst_du_iit0,A2,W‑Fragen,,ready,,
q_1770368400000_vkucgpcwn,2026-02-06T09:00:00.000Z,,_____ achtest du?,Wen,Worüber,Woher,Worauf,3,Worauf,„Worauf“ fragt nach Bezug/Objekt (auf + Akkusativ).,achtest_du,A2,W‑Fragen,,ready,,
q_1770368460000_97dpg0jpt,2026-02-06T09:01:00.000Z,,_____ erkennst du ihn?,Wie,Wo,Woran,Worüber,2,Woran,„Woran“ fragt nach Bezug (an + Dativ/Akkusativ je nach Kontext).,erkennst_du_ihn,A2,W‑Fragen,,ready,,
q_1770368520000_b5t11kjmo,2026-02-06T09:02:00.000Z,,_____ machst du das?,Wer,Wozu,Worüber,Wessen,1,Wozu,„Wozu“ fragt nach Zweck/Ziel (zu).,machst_du_das,A2,W‑Fragen,,ready,,
q_1770368580000_k7ko5hgtl,2026-02-06T09:03:00.000Z,,_____ wird das besser?,Worüber,Wodurch,Woran,Wen,1,Wodurch,„Wodurch“ fragt nach Ursache/Mittel (durch + Akkusativ).,wird_das_besser,A2,W‑Fragen,,ready,,
q_1770368640000_1erq9trpj,2026-02-06T09:04:00.000Z,,_____ bleibst du dran?,Wobei,Wer,Womit,Worauf,0,Wobei,„Wobei“ fragt nach Begleitumstand (bei).,bleibst_du_dran,A2,W‑Fragen,,ready,,
q_1770368700000_06t5el3u6,2026-02-06T09:05:00.000Z,,_____ ist die Suppe?,Wobei,Woraus,Wodurch,Woher,1,Woraus,„Woraus“ fragt nach Material/Herkunft (aus + Dativ).,ist_die_suppe,A2,W‑Fragen,,ready,,
q_1770368760000_bjqvi23th,2026-02-06T09:06:00.000Z,,_____ ruft dich an?,Wer,Worüber,Wodurch,Wann,0,Wer,„Wer“ fragt nach einer Person (Nominativ).,ruft_dich_an,A1,W‑Fragen,,ready,,
q_1770368820000_wqr7fgawx,2026-02-06T09:07:00.000Z,,_____ kaufst du im Supermarkt?,Womit,Was,Woran,Woraus,1,Was,„Was“ fragt nach einer Sache/Handlung.,kaufst_du_im_supermarkt,A1,W‑Fragen,,ready,,
q_1770368880000_lvn2j9p1x,2026-02-06T09:08:00.000Z,,_____ ist die Schule?,Woraus,Worauf,Wofür,Wo,3,Wo,„Wo“ fragt nach dem Ort.,ist_die_schule,A1,W‑Fragen,,ready,,
q_1770368940000_ao4oojw2u,2026-02-06T09:09:00.000Z,,_____ fährt der Bus ab?,Woher,Wann,Wofür,Wen,1,Wann,„Wann“ fragt nach der Zeit.,faehrt_der_bus_ab,A1,W‑Fragen,,ready,,
q_1770369000000_pbqirl5lk,2026-02-06T09:10:00.000Z,,_____ bleibst du zu Hause?,Worauf,Warum,Wer,Wessen,1,Warum,„Warum“ fragt nach dem Grund.,bleibst_du_zu_hause,A1,W‑Fragen,,ready,,
q_1770369060000_z94dy0qui,2026-02-06T09:11:00.000Z,,_____ ist das Wetter heute?,Wozu,Wie,Warum,Welche,1,Wie,„Wie“ fragt nach der Art/Weise oder dem Zustand.,ist_das_wetter_heute,A1,W‑Fragen,,ready,,
q_1770369120000_k0r384cdp,2026-02-06T09:12:00.000Z,,_____ kommt das Paket?,Woher,Worauf,Welche,Wo,0,Woher,„Woher“ fragt nach der Herkunft.,kommt_das_paket,A1,W‑Fragen,,ready,,
