quiz_id,created_at,published_at,question,option_1,option_2,option_3,option_4,correct_option_id,correct_answer,explanation,key,level,category,logic_domain,logic_domain_secondary,core_reason,difficulty_tag,message_id,status,audio_text,audio_file_id
logik_001,2026-02-14T09:00:00Z,,Nach zehn Stunden Arbeit bin ich sehr ___.,teuer,laut,rund,müde,3,müde,"Nur ""müde"" passt zur körperlichen Erschöpfung.",a1_d1_muede_nach_zehn_stunden_arbeit_bin_ich_seh_001,A1,Semantische Logik,1,10,"Nur ""müde"" passt zur körperlichen Erschöpfung.",A1-logic,,ready,,
logik_002,2026-02-14T09:01:00Z,,Sinnvoll ergänzen: Im Winter ist der Wind oft sehr ___.,weich,langsam,kalt,süß,2,kalt,"Es geht um Temperatur, nicht um Geschmack oder Form.",a1_d1_kalt_sinnvoll_ergaenzen_im_winter_ist_der_002,A1,Semantische Logik,1,10,"Es geht um Temperatur, nicht um Geschmack oder Form.",A1-logic,,ready,,
logik_003,2026-02-14T09:02:00Z,,"Wenn ich Durst habe, trinke ich ___",Fenster,Lampe,Tasche,Wasser,3,Wasser,Bei Durst passt logisch nur ein Getränk.,a1_d1_wasser_wenn_ich_durst_habe_trinke_ich_003,A1,Semantische Logik,1,10,Bei Durst passt logisch nur ein Getränk.,A1-logic,,ready,,
logik_004,2026-02-14T09:03:00Z,,Sinnvoll ergänzen: Für die Fahrt nach Berlin brauche ich ein ___.,Kissen,Spiegel,Ticket,Topf,2,Ticket,Zum Reisen braucht man ein Ticket.,a1_d1_ticket_sinnvoll_ergaenzen_fuer_die_fahrt_na_004,A1,Semantische Logik,1,10,Zum Reisen braucht man ein Ticket.,A1-logic,,ready,,
logik_005,2026-02-14T09:04:00Z,,Ohne Internet kann ich die Datei nicht ___.,kochen,bügeln,malen,senden,3,senden,"Eine Datei kann man senden, nicht kochen oder bügeln.",a1_d1_senden_ohne_internet_kann_ich_die_datei_nic_005,A1,Semantische Logik,1,10,"Eine Datei kann man senden, nicht kochen oder bügeln.",A1-logic,,ready,,
logik_006,2026-02-14T09:05:00Z,,Sinnvoll ergänzen: Vor der Prüfung bin ich ein bisschen ___.,quadratisch,trocken,billig,nervös,3,nervös,"Vor einer Prüfung beschreibt ""nervös"" den passenden Zustand.",a1_d1_nervoes_sinnvoll_ergaenzen_vor_der_pruefung__006,A1,Semantische Logik,1,10,"Vor einer Prüfung beschreibt ""nervös"" den passenden Zustand.",A1-logic,,ready,,
logik_007,2026-02-14T09:06:00Z,,Was passt logisch? Nach zehn Stunden Arbeit bin ich sehr ___.,teuer,laut,müde,rund,2,müde,"Nur ""müde"" passt zur körperlichen Erschöpfung.",a1_d1_muede_was_passt_logisch_nach_zehn_stunden__007,A1,Semantische Logik,1,10,"Nur ""müde"" passt zur körperlichen Erschöpfung.",A1-logic,,ready,,
logik_008,2026-02-14T09:07:00Z,,Was passt logisch? Im Winter ist der Wind oft sehr ___.,süß,weich,kalt,langsam,2,kalt,"Es geht um Temperatur, nicht um Geschmack oder Form.",a1_d1_kalt_was_passt_logisch_im_winter_ist_der__008,A1,Semantische Logik,1,10,"Es geht um Temperatur, nicht um Geschmack oder Form.",A1-logic,,ready,,
logik_009,2026-02-14T09:08:00Z,,"Was passt logisch? Wenn ich Durst habe, trinke ich ___",Wasser,Tasche,Fenster,Lampe,0,Wasser,Bei Durst passt logisch nur ein Getränk.,a1_d1_wasser_was_passt_logisch_wenn_ich_durst_hab_009,A1,Semantische Logik,1,10,Bei Durst passt logisch nur ein Getränk.,A1-logic,,ready,,
logik_010,2026-02-14T09:09:00Z,,Was passt logisch? Für die Fahrt nach Berlin brauche ich ein ___.,Spiegel,Topf,Ticket,Kissen,2,Ticket,Zum Reisen braucht man ein Ticket.,a1_d1_ticket_was_passt_logisch_fuer_die_fahrt_nac_010,A1,Semantische Logik,1,10,Zum Reisen braucht man ein Ticket.,A1-logic,,ready,,
